timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
550441.68,21,253952,62,192664,12693985438,7,59743950,1408,10,10,6640,1285,7,594,1499708,0,36,75804,19,61,120169355,1190,1,0,4,2676,240311264,8,961245056,18,24,14,4633,594,0,0,102215518,9026414,4050785351,0,594,642,0,3,1,14,14,3317,0,3,4047143708,4001217075,170803193,243804871,243821255,1,3,1,0,12677853324,73389,73389,14,14,14,243804875,9,3,233346,1538272,2168539,33652,4047143708,1499708,100051085,2058
552447.09,21,253952,62,202460,13340054402,7,60888155,1494,10,10,6640,1357,7,594,1575287,0,36,79650,19,61,120169355,1190,1,0,4,2676,252480618,8,1009922472,18,24,14,4633,594,0,0,107048433,9083459,4273183114,0,594,642,0,3,1,14,14,3317,0,3,4269372983,4206136884,176831127,256146724,256146724,1,3,1,0,13319629680,73389,73389,14,14,14,256146728,9,3,240592,1615861,2264429,35513,4269372983,1575287,104788310,2058
554451.63,22,253952,62,208926,13764751326,8,62799259,1516,10,10,6640,1389,7,594,1610127,0,36,82160,19,61,120169355,1190,1,0,4,2676,260486754,8,1041947016,18,24,14,4633,594,0,0,109649101,9084569,4411778914,0,594,642,0,3,1,14,14,3317,0,3,4407751169,4340329335,181342488,264283095,264299479,1,3,1,0,13742720972,73389,73389,14,14,14,264283099,9,3,241431,1651740,2299417,36647,4407751169,1610127,107354096,2058
556456.90,22,253952,62,216828,14285138592,8,63747285,1522,10,10,6640,1447,7,594,1659520,0,36,85258,19,61,120169355,1190,1,0,4,2676,270307044,8,1081098884,18,24,14,4633,594,0,0,113391069,9084653,4583112465,0,594,642,0,3,1,14,14,3317,0,3,4579186834,4504980411,186032078,274243679,274243679,1,3,1,0,14260671340,73389,73389,14,14,14,274243683,9,3,243484,1702586,2368429,38079,4579186834,1659520,111027198,2058
558462.46,22,253952,62,225139,14832643798,8,65615146,1535,11,11,6640,1497,7,594,1710335,0,36,88523,19,61,120169355,1190,1,0,4,2676,280658513,8,1122569396,18,25,14,4633,594,0,0,117450923,9085131,4757143945,0,594,642,0,3,1,14,14,3317,0,3,4753188010,4677575876,191806059,284759160,284759160,1,3,1,0,14807476352,73389,73389,14,14,14,284759164,9,3,247012,1754861,2422434,39513,4753188010,1710335,115033201,2058
560466.95,22,253952,62,231560,15255031100,9,68079118,1573,11,11,6640,1541,7,594,1745052,0,36,91049,19,61,120181421,1190,1,0,4,2676,288659513,8,1154638052,18,25,14,4633,594,0,0,120137332,9085263,4896041009,0,594,642,0,3,1,14,14,3317,0,3,4891458257,4811193455,197109169,292842061,292842061,1,3,1,0,15227787204,73389,73389,14,14,14,292842065,9,3,254121,1790673,2475546,40666,4891458257,1745052,117666597,2058
562473.02,22,253952,62,239716,15792366160,9,69263399,1632,12,12,6640,1589,7,594,1801235,0,36,94253,19,61,120483071,1190,1,0,4,2676,298849529,8,1195398116,18,26,14,4633,594,0,0,124339988,9115622,5070060673,0,594,642,0,3,1,14,14,3317,0,3,5065185491,4980362912,202520760,303177318,303177318,1,3,1,0,15765220568,73389,73389,14,14,14,303177322,9,3,258875,1848453,2560388,42098,5065185491,1801235,121784582,2058
564477.57,22,253952,62,247475,16304660774,9,70534515,1700,12,12,6640,1645,7,594,1855609,0,36,97310,19,61,120483071,1190,1,0,4,2676,308516497,8,1234065988,18,26,14,4633,594,0,0,128321261,9145682,5237212887,0,594,642,0,3,1,14,14,3317,0,3,5232549163,5141826120,207766925,312998194,312998194,1,3,1,0,16275906120,73389,73389,14,14,14,312998198,9,3,261081,1904323,2619595,43499,5232549163,1855609,125706801,2058
566485.93,22,253952,62,254056,16738826308,10,73076077,1717,13,13,6640,1682,8,621,1894785,0,36,99901,19,61,125234648,1244,1,0,4,2676,316715263,8,1266861052,18,27,14,4633,621,0,0,131219798,9158978,5374802134,0,621,657,0,3,1,14,14,3317,0,3,5370517566,5278739423,213251980,321313901,321313901,1,3,1,0,16708322884,73389,73389,14,14,14,321313905,9,3,265268,1944602,2678568,44634,5370517566,1894785,128546476,2138
568493.97,22,253952,62,262145,17269746546,10,74446175,1792,13,13,6640,1736,8,684,1961957,6,36,103075,19,61,135454299,1370,1,0,4,2676,326771171,8,1307084684,18,27,14,4633,684,0,0,135751064,9280212,5550328925,0,678,718,6,3,1,14,14,3317,0,3,5545025715,5446397536,219264462,331513127,331513127,1,3,1,0,17238682636,73389,73389,14,14,14,331513131,9,3,270075,2013461,2767467,46104,5545025715,1961957,132989010,2347
