timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
317167.24,10,253952,62,160720,10588440640,4,39336333,0,1080,7,7,10033,1075,18,621,1212442,0,7,63183,13,11,125550623,1244,1,0,4,459,200298392,5,801193568,12,21,8,1491,621,0,0,85733731,2913679,3408643938,0,621,355,0,3,1,14,14,936,0,3,3405596519,3339934036,127724048,203205441,203221825,1,3,1,0,10566682964,73389,73389,14,14,14,203205445,5,3,204887,1242977,1880041,28300,3405596519,1212442,83856893,1478
319176.94,10,253952,62,169770,11184606204,4,40610208,0,1168,7,7,10033,1148,18,630,1284489,0,7,66739,13,11,126991776,1262,1,0,4,459,211528101,5,846112404,12,21,8,1491,630,0,0,90414413,2992643,3603227175,0,630,363,0,3,1,14,14,936,0,3,3600384926,3528346129,133751704,214611691,214644459,1,3,1,0,11159807964,73389,73389,14,14,14,214611695,5,3,211113,1316814,1976183,29949,3600384926,1284489,88441634,1510
321182.07,10,253952,62,176323,11616271690,5,43111078,0,1203,7,7,10033,1178,19,630,1324870,0,7,69311,13,11,126991776,1262,1,0,4,459,219719175,5,878876700,12,21,8,1491,630,0,0,93392537,3012963,3742865394,0,630,363,0,3,1,14,14,936,0,3,3739777805,3664577586,139245906,222919650,222919650,1,3,1,0,11591821832,73389,73389,14,14,14,222919654,5,3,214140,1358254,2021357,31081,3739777805,1324870,91374707,1510
323196.28,10,253952,62,184453,12152288926,5,44330106,0,1251,8,8,10033,1240,19,630,1380736,0,7,72514,13,11,126991776,1262,1,0,4,459,229858793,5,919435172,12,22,8,1491,630,0,0,97277913,3051415,3916040903,0,630,363,0,3,1,14,14,936,0,3,3912403802,3833615399,144384585,233203596,233203596,1,3,1,0,12126587024,73389,73389,14,14,14,233203600,5,3,221800,1415586,2095380,32542,3912403802,1380736,95186213,1510
325202.87,10,253952,62,194009,12782231072,5,45439520,0,1342,8,8,10033,1295,19,630,1451502,0,7,76270,13,11,126991776,1262,1,0,4,459,241768106,5,967072424,12,22,8,1491,630,0,0,102144038,3088412,4114611495,0,630,363,0,3,1,14,14,936,0,3,4112088273,4032032762,150381379,245301848,245318232,1,3,1,0,12754844160,73389,73389,14,14,14,245285468,5,3,227783,1488137,2209310,34181,4112088273,1451502,99938604,1510
327208.67,10,253952,62,203938,13435170226,5,46547054,0,1442,8,8,10033,1364,19,630,1525275,0,7,80173,13,11,126991776,1262,1,0,4,459,254159905,5,1016575084,12,22,8,1491,630,0,0,107078586,3093481,4329422736,0,630,363,0,3,1,14,14,936,0,3,4325515639,4237813790,156433692,257853263,257853263,1,3,1,0,13408369708,73389,73389,14,14,14,257853267,5,3,235610,1563767,2308378,35971,4325515639,1525275,104774283,1510
329214.72,11,253952,62,213862,14088746980,5,47701011,0,1537,8,8,10033,1425,19,630,1596693,0,7,84068,13,11,126991776,1262,1,0,4,459,266512328,5,1066049312,12,22,8,1491,630,0,0,111940788,3102430,4539283239,0,630,363,0,3,1,14,14,936,0,3,4535040870,4443850472,162454585,270398201,270398201,1,3,1,0,14060706484,73389,73389,14,14,14,270398205,5,3,242368,1636951,2416210,37692,4535040870,1596693,109528849,1510
331220.66,11,253952,62,223777,14743821328,5,48859381,0,1629,8,8,10033,1481,19,630,1667877,0,7,87967,13,11,126991776,1262,1,0,4,459,278915040,5,1115531108,12,22,8,1491,630,0,0,116803960,3108247,4747128274,0,630,363,0,3,1,14,14,936,0,3,4743076401,4650262993,168477157,282977178,282977178,1,3,1,0,14714813288,73389,73389,14,14,14,282977182,5,3,245143,1709885,2506071,39407,4743076401,1667877,114302367,1510
333226.49,13,253952,62,233895,15410063802,5,50005930,0,1718,8,8,10033,1558,19,630,1740633,0,7,91954,13,11,126991776,1262,1,0,4,459,291508653,5,1166034612,12,22,8,1491,630,0,0,121666310,3110635,4963393708,0,630,363,0,3,1,14,14,936,0,3,4959659447,4860692285,174479566,295735108,295767876,1,3,1,0,15378225648,73389,73389,14,14,14,295735112,5,3,250647,1784432,2586084,41219,4959659447,1740633,119084913,1510
335231.88,13,253952,62,243975,16074129624,5,51271857,0,1801,8,8,10033,1614,19,630,1810572,0,7,95909,13,11,126991776,1262,1,0,4,459,304100344,5,1216336768,12,22,8,1491,630,0,0,126418442,3111389,5177218504,0,630,363,0,3,1,14,14,936,0,3,5172624116,5069999153,180505451,308507263,308507263,1,3,1,0,16042377708,73389,73389,14,14,14,308507267,5,3,255151,1856133,2678264,42964,5172624116,1810572,123745065,1510
