timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
370291.45,28,253952,62,320827,21139116994,9,62378200,2333,12,12,5127,2102,15,936,2441413,0,8,125910,13,183529460,1874,1,4,1722,399208039,9,1596767468,12,26,7,2660,936,156838392,1592775,6936325055,936,948,0,3,1,14,14,2354,3,6930784759,6677687825,220601638,405017354,405017354,1,3,1,21060902440,73389,73389,14,14,14,405017358,9,3,228924,2500666,3175357,57517,6930784759,2441413,153669353,3064
372295.52,28,253952,62,330460,21774503590,9,63642383,2380,12,12,5127,2173,15,1017,2504743,0,8,129671,13,197639596,2036,1,4,1722,411101638,9,1644342064,12,26,7,2660,1017,160825238,1592835,7168928490,1017,1026,0,3,1,14,14,2354,3,7162700893,6880109046,225851239,417080679,417080679,1,3,1,21688195340,73389,73389,14,14,14,417080683,9,3,233064,2565619,3245249,59442,7162700893,2504743,157586467,3278
374300.64,28,253952,62,337849,22260933040,10,66160108,2393,13,13,5127,2210,15,1017,2545790,0,8,132554,13,198242896,2036,1,4,1722,420279274,9,1681052492,12,27,7,2660,1017,163670677,1592884,7329071647,1017,1026,0,3,1,14,14,2354,3,7323116267,7033840647,231214265,426388062,426404446,1,3,1,22172179256,73389,73389,14,14,14,426388066,9,3,237534,2607726,3294226,60751,7323116267,2545790,160383040,3278
376305.37,28,253952,62,348495,22961187288,10,67910071,2431,13,13,5127,2285,15,1017,2611291,0,8,136699,13,198894460,2036,1,4,1722,433410691,9,1733578140,12,27,7,2660,1017,167930426,1592958,7571642195,1017,1026,0,3,1,14,14,2354,3,7566341340,7256194002,237223479,439740134,439740134,1,3,1,22866487000,73389,73389,14,14,14,439740138,9,3,239547,2674933,3376351,62772,7566341340,2611291,164560826,3278
378309.71,28,253952,62,359039,23657206262,10,69612454,2472,13,13,5127,2343,15,1017,2673610,0,8,140827,13,199497760,2036,1,4,1722,446525497,9,1785972820,12,27,7,2660,1017,172222065,1593029,7805829568,1017,1026,0,3,1,14,14,2354,3,7800065527,7476702802,243182483,453025782,453025782,1,3,1,23557340696,73389,73389,14,14,14,453025786,9,3,243637,2738904,3453318,64692,7800065527,2673610,168775661,3278
380315.05,28,253952,62,369380,24337496162,10,71302057,2523,13,13,5127,2416,15,1017,2741413,0,8,144869,13,199497760,2036,1,4,1722,459334254,9,1837272580,12,27,7,2660,1017,176572499,1593391,8044028501,1017,1026,0,3,1,14,14,2354,3,8037716063,7692635426,249240962,466001022,466001022,1,3,1,24232053176,73389,73389,14,14,14,466001026,9,3,258169,2808396,3554400,66668,8037716063,2741413,173025193,3278
382319.96,28,253952,62,379569,25009284576,10,72875641,2582,13,13,5127,2473,15,1017,2808324,0,8,148879,13,199497760,2036,1,4,1722,472054384,9,1888217536,12,27,7,2660,1017,181024180,1593759,8265918857,1017,1026,0,3,1,14,14,2354,3,8259153893,7904682685,255280513,478899931,478899931,1,3,1,24902796444,73389,73389,14,14,14,478899935,9,3,261046,2877021,3637439,68490,8259153893,2808324,177394034,3278
384325.87,29,253952,62,389702,25675942988,10,74360019,2645,13,13,5127,2545,15,1026,2885033,0,8,152812,13,201309629,2054,1,4,1722,484521094,9,1938019692,12,27,7,2660,1026,185553442,1622541,8501832100,1026,1031,0,3,1,14,14,2354,3,8494739701,8117393896,261320032,491547491,491547491,1,3,1,25560469564,73389,73389,14,14,14,491547495,9,3,262795,2955644,3718422,70450,8494739701,2885033,181842506,3304
386332.76,30,253952,62,399496,26322508312,10,75512646,2738,13,13,5127,2604,16,1143,2964226,0,8,156637,13,221441096,2288,1,4,1722,496653250,9,1986548396,12,27,7,2660,1143,190398107,1646659,8725446635,1143,1150,0,3,1,14,14,2354,3,8718423530,8322645796,267336889,503868642,503868642,1,3,1,26200317448,73389,73389,14,14,14,503852262,9,3,264622,3036913,3810457,72311,8718423530,2964226,186595353,3730
388338.83,31,253952,62,409287,26967178908,10,76667856,2821,13,13,5127,2673,16,1341,3047950,0,8,160452,13,254976168,2684,1,4,1722,508696478,9,2034785912,12,27,7,2660,1341,195241136,1675229,8961224857,1341,1341,0,3,1,14,14,2354,3,8953460600,8528034972,273361319,516116509,516116509,1,3,1,26838058500,73389,73389,14,14,14,516116513,9,3,265878,3122813,3887433,74291,8953460600,3047950,191361616,4424
390345.08,33,253952,62,418543,27577568848,10,77960271,2903,13,13,5127,2728,16,1350,3121517,0,8,164072,13,257346839,2702,1,4,1722,520188061,9,2080752244,12,27,7,2660,1350,199887077,1746832,9171864897,1350,1350,0,3,1,14,14,2354,3,9164045390,8721483122,279359645,527756009,527772393,1,3,1,27443312500,73389,73389,14,14,14,527756013,9,3,266958,3198446,3962445,76040,9164045390,3121517,195932737,4454
392355.92,34,253952,62,427655,28178497472,10,79292006,2979,13,13,5127,2792,16,1350,3204998,0,8,167626,13,257986337,2702,1,4,1722,531454398,9,2125817592,12,27,7,2660,1350,204519533,1827643,9385821709,1350,1350,0,3,1,14,14,2354,3,9377952915,8912945877,285395553,539182517,539182517,1,3,1,28037490916,73389,73389,14,14,14,539182521,9,3,269121,3284099,4041394,77828,9377952915,3204998,200486430,4454
394364.90,39,253952,62,436502,28761190304,10,80577553,3053,13,13,5127,2841,16,1350,3288675,0,8,171071,13,258649967,2702,1,4,1722,542403106,9,2169547816,12,27,7,2660,1350,209156543,1951674,9587023521,1350,1350,0,3,1,14,14,2354,3,9578828427,9097687471,291424757,550304206,550304206,1,3,1,28615818744,73389,73389,14,14,14,550304210,9,3,270510,3369830,4139366,79488,9578828427,3288675,205025638,4454
