timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
520298.59,24,253952,62,163665,10782840630,8,59683228,1274,11,11,4643,1109,3,585,1502187,0,6,64386,11,118357797,1172,1,0,4,1118,204078042,7,816312168,10,25,6,891,585,0,0,92945313,10018319,3450974324,0,585,753,0,3,1,14,14,1731,3,3447915092,3399637099,162251218,207055237,207055237,1,3,1,10766872356,73389,73389,14,14,14,207055241,10,3,219745,1539616,2135427,28683,3447915092,1502187,90813498,2101
522304.50,24,253952,62,169190,11146736930,9,62693432,1318,11,11,4643,1132,3,585,1542771,0,6,66542,11,118357797,1172,1,0,4,1118,210979208,7,843852360,10,25,6,891,585,0,0,95867745,10154514,3565178458,0,585,753,0,3,1,14,14,1731,3,3561791634,3514141455,168414950,214054635,214054635,1,3,1,11130841052,73389,73389,14,14,14,214054639,10,3,223443,1581313,2184308,29602,3561791634,1542771,93687166,2101
524314.30,25,253952,62,174822,11517452526,9,64119701,1345,12,12,4643,1183,3,585,1586006,0,6,68776,11,118357797,1172,1,0,4,1118,217994791,7,871979164,10,26,6,891,585,0,0,98656196,10383031,3685961402,0,585,753,0,3,1,14,14,1731,3,3682148753,3631010487,172852527,221170880,221170880,1,3,1,11500885792,73389,73389,14,14,14,221170884,10,3,229736,1625642,2246280,30633,3682148753,1586006,96413764,2101
526329.38,25,253952,62,181230,11940194460,9,66408390,1399,12,12,4643,1217,3,585,1653035,0,6,71285,11,118357797,1172,1,0,4,1118,225987110,7,903948440,10,26,6,891,585,0,0,102244746,10677890,3816540261,0,585,753,0,3,1,14,14,1731,3,3813115855,3764202101,179007688,229294297,229294297,1,3,1,11923303476,73389,73389,14,14,14,229294301,10,3,235361,1694103,2322970,31705,3813115855,1653035,99925757,2101
528340.87,25,253952,62,187765,12371307730,9,68421689,1445,12,12,4643,1254,3,585,1717774,0,6,73859,11,118357797,1172,1,0,4,1118,234158646,7,936570068,10,26,6,891,585,0,0,105931828,10997286,3954352892,0,585,753,0,3,1,14,14,1731,3,3950532764,3899990637,185025786,237581554,237581554,1,3,1,12353388872,73389,73389,14,14,14,237565174,10,3,244291,1760312,2426933,32838,3950532764,1717774,103509011,2101
530346.88,25,253952,62,194253,12798049746,9,70225719,1493,12,12,4643,1306,3,585,1773857,0,6,76424,11,118357797,1172,1,0,4,1118,242273925,7,969095700,10,26,6,891,585,0,0,109425565,11119046,4094153948,0,585,753,0,3,1,14,14,1731,3,4090200785,4034456140,190436773,245779143,245779143,1,3,1,12780515468,73389,73389,14,14,14,245779147,10,3,248336,1817813,2504775,34018,4090200785,1773857,106925041,2101
532352.35,25,253952,62,199636,13152145228,10,72873485,1522,12,12,4643,1330,3,585,1805686,0,6,78520,11,118357797,1172,1,0,4,1118,248938517,7,995754068,10,26,6,891,585,0,0,111823550,11121351,4204838595,0,585,753,0,3,1,14,14,1731,3,4200658537,4145947674,195483671,252586251,252586251,1,3,1,13134485084,73389,73389,14,14,14,252586255,10,3,251545,1850542,2548735,34915,4200658537,1805686,109279162,2101
534359.61,26,253952,62,205127,13514151152,10,74325367,1542,12,12,4643,1376,3,585,1841478,0,6,80705,11,118357797,1172,1,0,4,1118,255834782,7,1023339128,10,26,6,891,585,0,0,114369329,11124726,4320974485,0,585,753,0,3,1,14,14,1731,3,4316955282,4259914141,199484452,259534338,259567106,1,3,1,13495785608,73389,73389,14,14,14,259534342,10,3,264550,1887291,2609730,35897,4316955282,1841478,111764045,2101
536364.28,26,253952,62,210206,13848311624,10,75614048,1567,12,12,4643,1398,3,585,1873985,0,6,82682,11,118357797,1172,1,0,4,1118,262174288,7,1048697152,10,26,6,891,585,0,0,116758869,11126612,4426206641,0,585,753,0,3,1,14,14,1731,3,4422217589,4365312236,203163775,265964614,265964614,1,3,1,13830159960,73389,73389,14,14,14,265964618,10,3,270392,1920665,2656706,36752,4422217589,1873985,114106711,2101
538371.07,28,253952,62,217193,14309348816,10,76260700,1584,13,13,4643,1458,3,585,1936279,0,6,85451,11,118357797,1172,1,0,4,1118,270875869,7,1083503476,10,27,6,891,585,0,0,120507923,11176403,4573321619,0,585,753,0,3,1,14,14,1731,3,4568934438,4510813269,207605694,274806768,274806768,1,3,1,14289951968,73389,73389,14,14,14,274806772,10,3,272770,1984481,2719608,38000,4568934438,1936279,117792992,2101
